     #Energy up_4&8&12&1 dw_4&8&12&1
    -9.97523     0.00000     0.00000
    -9.92723     0.00000     0.00000
    -9.87823     0.00000     0.00000
    -9.83023     0.00000     0.00000
    -9.78223     0.00000     0.00000
    -9.73323     0.00000     0.00000
    -9.68523     0.00000     0.00000
    -9.63623     0.00000     0.00000
    -9.58823     0.00000     0.00000
    -9.53923     0.00000     0.00000
    -9.49123     0.00000     0.00000
    -9.44323     0.00000     0.00000
    -9.39423     0.00000     0.00000
    -9.34623     0.00000     0.00000
    -9.29723     0.00000     0.00000
    -9.24923     0.00000     0.00000
    -9.20023     0.00000     0.00000
    -9.15223     0.00000     0.00000
    -9.10323     0.00000     0.00000
    -9.05523     0.00000     0.00000
    -9.00723     0.00000     0.00000
    -8.95823     0.00000     0.00000
    -8.91023     0.00000     0.00000
    -8.86123     0.00000     0.00000
    -8.81323     0.00000     0.00000
    -8.76423     0.00000     0.00000
    -8.71623     0.00000     0.00000
    -8.66823     0.00000     0.00000
    -8.61923     0.00000     0.00000
    -8.57123     0.00000     0.00000
    -8.52223     0.00000     0.00000
    -8.47423     0.00000     0.00000
    -8.42523     0.00000     0.00000
    -8.37723     0.00000     0.00000
    -8.32823     0.00000     0.00000
    -8.28023     0.00000     0.00000
    -8.23223     0.00000     0.00000
    -8.18323     0.00000     0.00000
    -8.13523     0.00000     0.00000
    -8.08623     0.00000     0.00000
    -8.03823     0.00000     0.00000
    -7.98923     0.00000     0.00000
    -7.94123     0.00021     0.00000
    -7.89323     0.00056     0.00000
    -7.84423     0.00098     0.00000
    -7.79623     0.00127     0.00000
    -7.74723     0.00156    -0.00017
    -7.69923     0.00187    -0.00041
    -7.65023     0.00266    -0.00068
    -7.60223     0.00429    -0.00087
    -7.55323     0.00524    -0.00107
    -7.50523     0.00139    -0.00127
    -7.45723     0.00173    -0.00193
    -7.40823     0.00209    -0.00303
    -7.36023     0.00286    -0.00235
    -7.31123     0.00597    -0.00087
    -7.26323     0.00929    -0.00103
    -7.21423     0.00756    -0.00123
    -7.16623     0.00669    -0.00180
    -7.11823     0.00577    -0.00373
    -7.06923     0.00661    -0.00548
    -7.02123     0.01244    -0.00457
    -6.97223     0.01316    -0.00400
    -6.92423     0.01523    -0.00341
    -6.87523     0.01736    -0.00361
    -6.82723     0.01955    -0.00690
    -6.77823     0.02112    -0.00826
    -6.73023     0.02244    -0.00825
    -6.68223     0.01680    -0.00925
    -6.63323     0.02048    -0.01026
    -6.58523     0.02561    -0.01094
    -6.53623     0.02888    -0.01150
    -6.48823     0.03167    -0.01071
    -6.43923     0.07899    -0.00958
    -6.39123     0.07403    -0.01192
    -6.34323     0.05273    -0.01428
    -6.29423     0.02021    -0.01492
    -6.24623     0.04323    -0.01633
    -6.19723     0.08817    -0.05523
    -6.14923     0.05519    -0.03328
    -6.10023     0.05107    -0.02173
    -6.05223     0.06652    -0.01414
    -6.00323     0.07091    -0.02666
    -5.95523     0.07311    -0.03200
    -5.90723     0.04153    -0.02004
    -5.85823     0.01911    -0.02537
    -5.81023     0.07069    -0.03354
    -5.76123     0.14598    -0.03171
    -5.71323     0.14009    -0.02934
    -5.66423     0.16193    -0.02357
    -5.61623     0.18615    -0.00942
    -5.56723     0.22302    -0.00691
    -5.51923     0.05972    -0.06425
    -5.47123     0.05404    -0.05151
    -5.42223     0.10671    -0.06525
    -5.37423     0.17305    -0.06505
    -5.32523     0.31377    -0.07227
    -5.27723     0.18154    -0.08974
    -5.22823     0.38157    -0.04808
    -5.18023     0.61936    -0.02015
